"DATE/TIME
DAY OF WEEK",CRIME TYPE DESCRIPTION,ADDRESS,INCIDENT #
VANDALISM,3500 BLOCK GAMAGE DR  ,"10/14/2015 15:00 
WEDNESDAY",151015000111
VANDALISM,500 BLOCK MCFARLAND RD  ,"10/14/2015 15:26 
WEDNESDAY",151014000093
VANDALISM,1600 BLOCK CAMPOSTELLA RD  ,"10/14/2015 15:50 
WEDNESDAY",151014000106
VANDALISM,2500 BLOCK WEST AV  ,"10/14/2015 16:00 
WEDNESDAY",151015000014
VANDALISM,2700 BLOCK KELLER AV  ,"10/14/2015 16:30 
WEDNESDAY",151014000121
VANDALISM,800 BLOCK POLLARD ST  ,"10/14/2015 17:30 
WEDNESDAY",151015000025
VANDALISM,1200 BLOCK TIDEWATER DR  ,"10/14/2015 17:58 
WEDNESDAY",151014000108
VANDALISM,800 BLOCK WEISS LN  ,"10/15/2015 00:01 
THURSDAY",151015000054
VANDALISM,800 BLOCK GOFF ST  ,"10/15/2015 00:01 
THURSDAY",151016000026
VANDALISM,3200 BLOCK KIMBALL TER  ,"10/15/2015 00:03 
THURSDAY",151015000001
VANDALISM,1800 BLOCK BRACEY ST  ,"10/15/2015 09:45 
THURSDAY",151015000070
VANDALISM,900 BLOCK ASBURY AV  ,"10/15/2015 12:46 
THURSDAY",151015000093
VANDALISM,400 BLOCK PAINTER ST  ,"10/15/2015 15:00 
THURSDAY",151019248601
VANDALISM,4200 BLOCK PARKER AV  ,"10/15/2015 19:30 
THURSDAY",151017000066
VANDALISM,NA  ,"10/16/2015 02:00 
FRIDAY",151017000027
VANDALISM,1100 BLOCK SAINT JULIAN AV  ,"10/16/2015 03:33 
FRIDAY",151016000010
VANDALISM,4200 BLOCK ELKHORN AVE  ,"10/16/2015 13:00 
FRIDAY",151018000065
VANDALISM,2600 BLOCK BARRE ST  ,"10/16/2015 18:00 
FRIDAY",151017000060
VANDALISM,6500 BLOCK DIESEL CT  ,"10/16/2015 18:00 
FRIDAY",151018000052
VANDALISM,900 BLOCK FREMONT ST  ,"10/16/2015 18:00 
FRIDAY",151019000072
VANDALISM,6000 BLOCK E VIRGINIA BEACH BLVD  ,"10/16/2015 18:30 
FRIDAY",151017000041
VANDALISM,7700 BLOCK OGDEN AV  ,"10/16/2015 19:00 
FRIDAY",151016000082
VANDALISM,4200 BLOCK PARKER AV  ,"10/16/2015 19:00 
FRIDAY",151017231602
VANDALISM,8500 BLOCK STURGIS RD  ,"10/16/2015 19:17 
FRIDAY",151016000083
VANDALISM,700 BLOCK STANWIX SQ  ,"10/16/2015 22:00 
FRIDAY",151017000051
VANDALISM,100 BLOCK GRANBY ST  ,"10/16/2015 23:15 
FRIDAY",151017141405
VANDALISM,1000 BLOCK 37TH ST  ,"10/16/2015 23:40 
FRIDAY",151018000062
VANDALISM,700 BLOCK E VIRGINIA BEACH BLVD  ,"10/16/2015 23:48 
FRIDAY",151017000001
VANDALISM,700 BLOCK ROSWELL AV  ,"10/17/2015 00:01 
SATURDAY",151017000033
VANDALISM,4200 BLOCK PARKER AV  ,"10/17/2015 00:45 
SATURDAY",151017000004
VANDALISM,4200 BLOCK PARKER AV  ,"10/17/2015 01:00 
SATURDAY",151017000037
VANDALISM,8100 BLOCK DIVEN ARC  ,"10/17/2015 01:00 
SATURDAY",151017000054
VANDALISM,7400 BLOCK FENNER ST  ,"10/17/2015 01:49 
SATURDAY",151017231601
VANDALISM,7500 BLOCK TIDEWATER DR  ,"10/17/2015 08:45 
SATURDAY",151017000028
VANDALISM,3500 BLOCK AMHERST ST  ,"10/17/2015 17:30 
SATURDAY",151017000102
VANDALISM,200 BLOCK BEECHWOOD AV  ,"10/17/2015 18:10 
SATURDAY",151017000085
VANDALISM,900 BLOCK HALIFAX ST  ,"10/17/2015 18:30 
SATURDAY",151019000017
VANDALISM,3300 BLOCK SEWELLS POINT RD  ,"10/17/2015 22:37 
SATURDAY",151017000103
VANDALISM,700 BLOCK E VIRGINIA BEACH BLVD  ,"10/17/2015 22:53 
SATURDAY",151017000105
VANDALISM,2900 BLOCK E VIRGINIA BEACH BLVD  ,"10/17/2015 23:00 
SATURDAY",151019000018
VANDALISM,800 BLOCK N MILITARY HWY  ,"10/17/2015 23:10 
SATURDAY",151018000001
VANDALISM,1200 BLOCK TIDEWATER DR  ,"10/18/2015 07:00 
SUNDAY",151018000046
VANDALISM,1700 BLOCK HUNTER ST  ,"10/18/2015 12:00 
SUNDAY",151018000063
VANDALISM,1800 BLOCK GREEN LEAF DR  ,"10/18/2015 16:30 
SUNDAY",151018000059
VANDALISM,400 BLOCK BANK ST  ,"10/18/2015 17:00 
SUNDAY",151019000030
VANDALISM,NA  ,"10/18/2015 17:19 
SUNDAY",151018000056
VANDALISM,3600 BLOCK NEWPORT AV  ,"10/19/2015 07:45 
MONDAY",151019000025
VANDALISM,4000 BLOCK HARBOR WALK AV  ,"10/19/2015 08:55 
MONDAY",151019000020
VANDALISM,1300 BLOCK W 38TH ST  ,"10/19/2015 09:00 
MONDAY",151019000103
VANDALISM,6500 BLOCK STONEY POINT SOUTH  ,"10/19/2015 11:00 
MONDAY",15101900286
 NARCOTICS VIOLATIONS, 18 crime(s) ,,
NARCOTICS VIOLATIONS,7400 BLOCK FENNER ST  ,"10/13/2015 10:46 
TUESDAY",151013000078
DRUG PARAPHERNALIA,400 BLOCK E RANDALL AV  ,"10/13/2015 14:30 
TUESDAY",151013005601
NARCOTICS VIOLATIONS,400 BLOCK E RANDALL AV  ,"10/13/2015 14:30 
TUESDAY",151013005601
NARCOTICS VIOLATIONS (FELONY),1800 BLOCK KINGSTON AV  ,"10/13/2015 20:00 
TUESDAY",151013000138
DRUG PARAPHERNALIA,800 BLOCK N MILITARY HWY  ,"10/13/2015 23:46 
TUESDAY",151014000001
NARCOTICS VIOLATIONS,8000 BLOCK DIGGS RD  ,"10/14/2015 11:30 
WEDNESDAY",151014000059
NARCOTICS VIOLATIONS,2400 BLOCK E LITTLE CREEK RD  ,"10/14/2015 22:49 
WEDNESDAY",151014000134
NARCOTICS VIOLATIONS (FELONY),1700 BLOCK SELDAN AV  ,"10/15/2015 19:05 
THURSDAY",151015000139
NARCOTICS VIOLATIONS,9600 BLOCK CHESAPEAKE BLVD  ,"10/16/2015 00:00 
FRIDAY",151016000095
NARCOTICS VIOLATIONS,5500 BLOCK RABY RD  ,"10/16/2015 14:19 
FRIDAY",151016031601
NARCOTICS VIOLATIONS,9600 BLOCK CHESAPEAKE BLVD  ,"10/16/2015 21:00 
FRIDAY",151016000097
NARCOTICS VIOLATIONS,2300 BLOCK EPA  ,"10/16/2015 21:09 
FRIDAY",151016000093
NARCOTICS VIOLATIONS,700 BLOCK E OCEAN VIEW AV  ,"10/17/2015 00:00 
SATURDAY",151017241201
NARCOTICS VIOLATIONS,1400 BLOCK PICADILLY ST  ,"10/17/2015 00:00 
SATURDAY",151016241201
NARCOTICS VIOLATIONS,NA  ,"10/17/2015 02:03 
SATURDAY",151017144601
NARCOTICS VIOLATIONS,9000 BLOCK 1ST VIEW ST  ,"10/17/2015 19:05 
SATURDAY",151017000084
NARCOTICS VIOLATIONS,1100 BLOCK N MILITARY HWY  ,"10/18/2015 14:35 
SUNDAY",151018000053
NARCOTICS VIOLATIONS,1400 BLOCK N MILITARY HWY  ,"10/19/2015 12:16 
MONDAY",151019170601
NARCOTICS VIOLATIONS,5300 BLOCK E VIRGINIA BEACH BLVD  ,"10/19/2015 13:46 
MONDAY",151019031602
 PROSTITUTION, 1 crime(s) ,,
PROSTITUTION,6200 BLOCK NORTHAMPTON BLVD  ,"10/13/2015 13:06 
TUESDAY",151002000084
TOTAL INCIDENTS:  281,,,
,PRINT DATE: 10/20/2015,PAGE -1 OF 1,DATE RANGE: 10/13/2015 - 10/19/2015
